module_or_contract	current_responsibility	workflow_overlap	evidence_refs	proposed_disposition	confidence	blockers	v2_4_action
runtime/work_unit.py	Work Unit pure data layer: construction/validation/state transitions/retry accounting; terminal-state lock; running→completed only via recovery reconcile; normal completion must pass verifying (§70 parent verification)	host stages have no unit concept; ask nodes ≠ units	EV-013, EV-016; architecture.md §8	KEEP	high	none — invariant is project-specific (unit verification semantics), host offers no equivalent	retain unchanged
runtime/dispatcher.py	pure dispatch admission policy: fixed five-gate order (quota→ownership→lease→concurrency→release); zero I/O	no host equivalent; workflow runtime dispatches whatever the script asks without policy	EV-010, EV-012	KEEP	high	none	policy gates stay; only the launch mechanism behind them may change
runtime/dispatch_wave.py	dispatch permit data layer (no-permit-no-dispatch as durable fact); atomic consume via rename; anti-replay; wave membership	workflow children bypass PreToolUse/PostToolUse where permits are validated/consumed; permit FACTS remain valid as authorization records; enforcement point must move into the conductor-authored script	EV-009, CAP-08, CAP-25	KEEP_AND_ADAPT	high	permit consume/invalidate currently wired to PostToolUse hooks which never fire for workflow children	if a NativeWorkflowAdapter is approved: adapter script checks prepared permit facts (read via runtime CLI/files) before each ask; hook-based consume retired only after fallback window with workflow-only launch path
runtime/task_manager.py	dispatch lifecycle transaction boundary (prepare/commit/abort/finish); RB-1 completion evidence gate; wave transactions; quota-exhausted transitions; CLI entry	launch orchestration overlaps workflow staging; transaction/finish/verification semantics do not overlap (host has no unit transactions)	EV-013, EV-016	KEEP_AND_ADAPT	medium	high	adapter would call prepare/commit as today but launch via workflow run instead of direct Agent spawn; finish_unit and RB-1 unchanged — post-review decision, not authorized by this spike
runtime/agent_run.py	Agent Run ledger: journal events as sole truth; PostToolUse-only write entry; native metadata read-only adapter; zombie annotation	workflow run records (GetWorkflowRun) provide host-side run/child identity + status + tokens (EV-004/016/017) but no fingerprint-bound receipts and no journal integration	EV-004, EV-016, EV-017	KEEP_AND_ADAPT	medium	workflow ids not correlated to units/tasks; hook write entry never fires for workflow children	v2.4 adapter should correlate run ids + site ids into agent_run records (adapter-side correlation); ledger remains truth source
runtime/reconcile.py	interrupt recovery triage (units/leases/agent runs); repo-residue > journal-fingerprint > native archive; completed never rerun; repo authoritative	host resume replays completed ASKS from journal without re-verification (trust-level: journal); no unit-level triage; no repo verification	EV-016	KEEP	high	host replay is execution-lifecycle recovery at ask granularity only; conductor recovery is unit/verification/repo-aware — different layers (G6 pattern repeats)	retain; a future adapter may map ask ids to unit states to shrink triage surface
runtime/lease.py	file lease owner map; all-or-nothing acquire; TTL+generation recovery; second parallel-safety gate	conflict protection ABSENT in host: silent last-writer-wins observed	EV-012	KEEP	high	none — removing leases would leave silent overwrite unprotected (G3)	retain unchanged
runtime/ownership.py	path ownership matching + git touched inventory; Layer A of stop gate; dispatcher conflict approximation	host has no ownership concept; disjoint writes worked only because probe chose disjoint paths	EV-011, EV-012	KEEP	high	none	retain unchanged
runtime/dependency.py	unit dependency graph pure functions (cycle detect, readiness, closure, topo order)	host phases express stage ordering but know nothing of units; adapter scripts can replicate readiness per unit	EV-013	KEEP_AND_ADAPT	medium	workflow stage mechanism covers mechanics, not unit semantics	dependency decisions may feed adapter stage construction; module retained
runtime/execution_policy.py	automation-strength authorization facts; effective_worker_budget; hard_limit=4 immutable; user-sourced elevation	no host equivalent; runtime concurrency is adaptive and quota-driven, not policy-driven	EV-010, EV-014	KEEP	high	none	retain; budget may constrain adapter fan-out width
runtime/fingerprint.py	task_fingerprint evidence hashing; visual staleness detection	no host equivalent	EV-017	KEEP	high	none	retain unchanged
runtime/state.py	task state layer (state.json): validation, atomic save, transition table, four-class discovery, repo-root binding	no host equivalent; workflow run state is not task state	EV-016	KEEP	high	none	retain unchanged
runtime/journal.py	append-only events.jsonl execution log; single write entry; task isolation	workflow runs keep no conductor journal; hook write entry bypassed for workflow children	EV-009	KEEP	high	none	adapter must write journal events itself when launching via workflow (launch/fail records)
runtime/durable_io.py	atomic JSON I/O + fail-closed exclusive lock primitive	no overlap (infrastructure)	EV-004 (host .mjs files are host-internal, not a substitute)	KEEP	high	none	retain unchanged
runtime/recovery.py	SessionStart recovery discovery: pure local summary rendering; zombie annotation	workflow resume (CAP-20) covers run continuation, not conductor task recovery context injection	EV-016, EV-018	KEEP	high	none	retain unchanged
runtime/resume_manifest.py	recovery snapshot compression (manifest.json); advisory only, never blocks	none	EV-016	KEEP	high	none	retain unchanged
runtime/provenance.py	verification/review provenance receipts; whitelist+policy double gate; zero-TOCTOU fingerprints; review receipt is sole verdict authority	no host equivalent: workflow child outputs are unverified model text; "workflow success ≠ repository correctness" holds (EV-017: children return whatever conforms; no receipt)	EV-017, CAP-04	KEEP	high	none — this is the core assurance invariant the spike was most concerned to protect	retain unchanged
runtime/policy.py	Bash allow/ask/deny policy engine (PreToolUse Bash matcher)	workflow children run Bash WITHOUT this policy gate (hooks are main-session-scoped; CAP-08) — a real assurance regression surface for workflow-executed commands	EV-009, CAP-08	KEEP_AND_ADAPT	high	deny cannot fire on workflow child Bash	adapter scripts must only ask children to run commands that the conductor would have allowlisted; interactive-mode risk documented (CAP-22)
runtime/scheduler_facts.py	scheduler capability facts cache; CronCreate gate data	none (workflows are not cron)	—	KEEP	high	none	retain unchanged
runtime/activation_transport.py	wake bridge arming/status vocabulary; C8 gate interface	none	EV-020	KEEP	high	none	retain unchanged
runtime/quota/* (22 files)	quota resolver/epoch/subscription/accounting/Global Quota Clock/wake bridge/observer; provider-aware continuity	host workflow runtime has NO provider quota awareness: provider errors stop runs; user resolves; no reset scheduling (G6)	EV-020	KEEP	high	none — WF-23/24 establish separate layers explicitly	retain unchanged
hooks/pre_tool_use.py (Agent|Task permit path)	permit validation + deny + background forcing + wave membership via PreToolUse(Agent|Task)	never fires for workflow children (structural bypass)	EV-009, CAP-08, CAP-10	KEEP_AND_ADAPT	medium	high	falls back to legacy direct-dispatch path only; retired from the workflow path entirely (adapter enforces in-script) — deprecation only after a workflow-only launch fallback window
hooks/post_tool_use.py (Agent|Task: consume/record)	permit consumption + agent_launched/agent_dispatch_failed/reviewer journaling via PostToolUse(Agent|Task)	never fires for workflow children	EV-009, CAP-08	KEEP_AND_ADAPT	medium	high	same as pre_tool_use permit path: legacy-path only; adapter writes equivalent journal events itself
hooks/stop_gate.py	four-fold Stop completion gate (ownership Layer A, verification, review receipts, visual staleness)	unchanged: Stop fires on the main session regardless of how children were launched; gate reads conductor state, not workflow state	EV-017	KEEP	high	none — "workflow success ≠ repo correctness" explicitly preserved	retain unchanged
hooks/session_start.py	SessionStart recovery context injection	none	EV-016	KEEP	high	none	retain unchanged
implementation-agent launch plumbing (main-session Agent tool dispatch with permit markers)	current execution substrate for delegated units	workflow launches REPLACE the mechanics (parallel/staged/background) but NOT the assurance envelope (model binding G1, enforcement G2 unmet on host)	EV-002, EV-003, EV-009	REPLACE_BEHIND_ADAPTER	medium	G1 fail (no role addressability, no per-role model binding, no tool enforcement); G2 fail (no host enforcement boundary) — adapter must: inline role personas, gate in-script, verify via provenance as today; single-model host also blocks flagship reviewer migration	a v2.4 NativeWorkflowAdapter is TECHNICALLY FEASIBLE for the constrained subset (delegable, assurance≤medium, non-visual, flash-only roles) — decision deferred to re-baseline review; legacy path retained
solo/delegate/audit/full routing	role and assurance policy	unchanged by workflows	EV-002, EV-003	KEEP	high	none	retain unchanged
five-part implementation specification / TASK CONTEXT PACK / ownership contract	task contracts	conveyed verbatim via ask instructions (EV-009)	EV-009	KEEP	high	none	retain; adapter packs them into ask instructions
verification/review receipts + Stop gate evidence requirements	evidence-based completion	workflow success is not evidence; receipts stay conductor-produced	EV-017	KEEP	high	none	retain unchanged
quota continuity (Quota Epoch, Global Quota Clock, Task Wake Bridge, subscription/accounting)	provider-aware reactivation and accounting	host explicitly lacks it (CAP-23)	EV-020	KEEP	high	none	retain unchanged
