capability_id	capability	required_for_target_architecture	evidence_class	status	host_surface	observed_behavior	conductor_dependency	decision_impact	evidence_ref	notes
CAP-01	workflow definition and invocation surface	yes	OBSERVED	SUPPORTED	CreateWorkflow tool accepting `path` to a .ts script (or inline script); definitions persistable via SaveWorkflow into project .zcode/workflows/ or global ~/.zcode/workflows/; compiled per-run module at .zcode/workflow-runs/<run-id>.mjs	10 spike scripts submitted by path, all compiled cleanly and started in background immediately; no interactive confirmation in this session's permission mode	adapter generates and submits conductor-authored scripts programmatically	programmable entry point exists; adapter layer is feasible	EV-001, EV-004, run ledger	documented facade: agent()/ask<T>()/phase()/Promise.all; TS compiled before launch
CAP-02	plugin custom-subagent addressability	yes	OBSERVED	NOT_SUPPORTED	agent(name, persona) — name is an identity label only	children named "glm-conductor:flash-implementer" / "glm-conductor:glm-reviewer" / "bogus-plugin:ghost-role" all received the SAME generic subagent system prompt ("You are a subagent inside a dynamic workflow run, named X"); no validation of invalid ids	plugin agent definitions (system prompt, model field, tools field) are NOT consumed by the workflow runtime	G1 fails on addressability: roles are reachable only by copying persona text into the script	EV-002	architecture-critical (WF-02)
CAP-03	per-role model binding	partially (flash + flagship split)	OBSERVED	NOT_SUPPORTED	subagent_model is a RUN-level field: one model for ALL children of a run; must match host-configured models; omitted means session model	submission with account:bigmodel-individual-coding-plan/GLM-5.3-Flash rejected: "No configured model matches ..."; default run children self-reported session model account:bigmodel-start-plan/GLM-5.3-Flash; children cannot perceive thought level	workflow cannot express flash-implementer vs flagship-reviewer model split; agent frontmatter models invisible to workflow runtime	G1 fails on model binding; flagship reviewer route impossible on this host; NO silent fallback (hard validation error)	EV-003, EV-002	architecture-critical (WF-03); single-model host corroborates
CAP-04	per-child tool restriction	yes (read-only reviewer)	OBSERVED	NOT_SUPPORTED	no per-agent tool configuration exists in the workflow facade; every child has the full working toolset	child with reviewer label and neutral persona wrote a file successfully (reviewer_should_not_write.txt on disk); all children self-reported Bash/Write/Edit present	G5 constraint: read-only assurance is persona-only convention, not deterministic enforcement	G1/G5 fail on deterministic read-only boundary	EV-007	architecture-critical (WF-04)
CAP-05	MCP visibility for children	nice-to-have	OBSERVED (child-reported)	SUPPORTED	session MCP servers	children listed all 5 session mcp__ tools (chhsich-web-search, node_repl, web-search x2, web-reader)	children can use conductor-irrelevant MCP; no leakage risk observed (no credentials probed)	low	none	EV-007	(WF-05); child-reported, not host-record
CAP-06	mid-session MCP connector change visibility	no	UNKNOWN	UNKNOWN	not tested	not tested	none	none	—	(WF-05 remainder)
CAP-07	plugin hook visibility: workflow start	yes (deterministic enforcement)	OBSERVED	NOT_SUPPORTED	plugin hooks attach to main-session tool calls (PreToolUse Agent|Task / Bash, PostToolUse*, Stop); workflows are not main-session tool calls	.glm-conductor/ tree empty after multiple workflow runs (weak corroboration: hooks also inoperable in this session due to python3 stub — see EV-006)	workflow start cannot trigger permit issuance hooks	deterministic enforcement must move into the conductor-authored script	EV-005, EV-006, EV-009	(WF-06)
CAP-08	plugin hook visibility: workflow-spawned child launch	yes (permit/receipt enforcement)	OBSERVED	NOT_SUPPORTED	workflow children are spawned by the runtime's internal actor protocol (create-actor/ask over stdio, observed in .mjs run module), never via the main-session Agent|Task tool surface	two marker-bearing children launched; zero hook-visible trace; PreToolUse/PostToolUse matchers have no occasion to fire (structural)	permit validation, permit consumption, agent_launched/agent_dispatch_failed journaling have NO purchase on workflow children	G2 fails at the host hook boundary: enforcement boundary must be the script itself	EV-009, EV-002, EV-004	architecture-critical (WF-07)
CAP-09	hook input mutation (updatedInput) on workflow children	conditional	OBSERVED	NOT_SUPPORTED	depends on CAP-08	no hook fires on workflow child launch, so no mutation surface exists	background-forcing via updatedInput unavailable for workflow launches	adapter enforces mode in-script before ask	EV-009	(WF-07)
CAP-10	hook deny preventing workflow child launch	conditional	OBSERVED	NOT_SUPPORTED	depends on CAP-08	no hook fires on workflow child launch; deny cannot gate it	launch authorization must be decided by the script (conductor-authored) before calling ask()	G2: deterministic launch gate survives only inside the adapter script	EV-009	(WF-07)
CAP-11	nested subagents from a workflow child	no	OBSERVED	NOT_SUPPORTED	children have no Agent/Task tool (self-reported by 3 independent children; TaskOutput/TaskStop are background-task helpers only)	child reported no_tool for nested launch attempt; matches ordinary-subagent baseline	composition must be expressed as workflow stages, not nested delegation	none — matches current architecture assumption	EV-008	(WF-08)
CAP-12	foreground parallel fan-out	yes	OBSERVED	SUPPORTED	Promise.all over multiple ask() nodes in one phase	3 children genuinely overlapped in time (all pairwise epoch-interval intersections true); parent waited for all; per-ask results returned in order; concurrency is runtime-adaptive (observed rate-limited 2/4)	replaces dispatch-wave launch mechanics for bounded parallelism	G3 pre-condition met for disjoint work	EV-010, EV-014	(WF-09)
CAP-13	parallel writes, disjoint ownership	yes	OBSERVED	SUPPORTED_WITH_CONSTRAINTS	shared workspace, no isolation	disjoint fixture writes both landed correctly; children saw identical workspace view; no serialization needed	host provides NO guarantee — disjoint safety observed, not enforced	ownership rules remain necessary as the guarantee mechanism	EV-011	(WF-10)
CAP-14	conflicting-write detection/prevention	yes (safety)	OBSERVED	NOT_SUPPORTED	shared workspace	silent last-writer-wins: beta write ...499.8 overwritten by alpha ...501.8; no detection, no conflict event, no serialization; detection only incidental via alpha's prose	ownership + lease enforcement CANNOT be reduced while parallel writes exist	G3: host conflict behavior is silent last-writer-wins; conductor enforcement retained	EV-012	architecture-critical (WF-11)
CAP-15	staged dependency execution	yes	OBSERVED	SUPPORTED	plain script control flow: await phase A node before phase B asks; typed results; repo-file handoff	stage B consumed stage A's artifact from the repository after A resolved	replaces work-unit dependency orchestration MECHANICS (not unit semantics)	for dispatch-wave staged waves: candidate replacement	EV-013	(WF-12)
CAP-16	result handoff to main session	yes	OBSERVED	SUPPORTED	final return delivered as completion notification with full structured fidelity; per-child typed results; run record exposes task text, site ids, token usage	aggregate JSON returned exactly as script composed it	main-session acceptance can consume mechanical JSON	low friction integration point	EV-001, EV-013, EV-004	(WF-13)
CAP-17	background execution	yes	OBSERVED	SUPPORTED	background is the default run mode; run continues unattended; progress via GetWorkflowRun; completion notification	parent turn continued freely during all runs; rate-limit adaptation observed (concurrency 2/4)	replaces background dispatch bookkeeping mechanics	none	EV-014	(WF-14)
CAP-18	run/child identity	yes	OBSERVED	SUPPORTED	stable run ids (dwfrun-<uuid>) across stop/resume; actor site ids (actor#N@M), ask ids (ask#N@M), retry steps (step 2)	identity survived cancel→resume→complete cycle in two runs	unit correlation must be maintained by adapter (ids are run-scoped, not task-scoped)	G4 satisfied for identity	EV-004, EV-015, EV-016	(WF-13/22)
CAP-19	cancellation	yes	OBSERVED	SUPPORTED	TaskStop → stopped (stop_reason=model); in-flight child marked unfinished "leftover of the exited process"; never-dispatched phases stay ahead; no partial repo writes in probes; stop on completed run is a safe no-op	cancel evidence captured at mid-flight and pre-dispatch points	replaces ad-hoc cancellation bookkeeping partially; repo state remains authoritative	EV-015	(WF-15); idempotency beyond no-op on completed: UNKNOWN
CAP-20	resume / retry identity	yes (replace reconcile?)	OBSERVED	SUPPORTED_WITH_CONSTRAINTS	ResumeWorkflowRun continues SAME run id; completed asks replay from journal WITHOUT re-execution (file mtime+content+stamp unchanged); unfinished asks re-dispatch live; repo re-read live	resume evidence: completed child replayed with zero side-effect repetition; in-flight child re-ran fully	host resume is execution-lifecycle recovery at ASK granularity only; no unit/verification-level semantics; no repo-verification before replay	reconcile.py cannot be replaced: host replay trusts journal, does not re-verify repo truth	G4 satisfied; reconcile retained	EV-016	architecture-critical (WF-17)
CAP-21	execution state across app restart	conditional	DOCUMENTED	UNKNOWN	supported restart boundary: runs whose owning process exited are stop_reason=interrupted and resumable via ResumeWorkflowRun (host tool documentation); live restart NOT exercised	documented only; spike cannot restart the host autonomously	same semantics as CAP-20 presumed, unverified	force restart-recovery path must stay conductor-side until observed	EV-018	WF-18 BLOCKED (live test requires user-assisted restart)
CAP-22	permission prompt interaction	conditional	OBSERVED (partial)	UNKNOWN	workflow submission shows the script and command set to the user at confirmation (documented); this session auto-approved all submissions (no prompt observed); mid-run permission prompts untestable in this permission mode	15/15 submissions started immediately without interactive confirmation	prompt-pause semantics (whole run vs one child) unresolved	design adapter for unattended modes; document interactive-mode risk	EV-019	(WF-19)
